energy_kev,wavelength_angstrom,delta,beta,critical_angle_deg,critical_angle_mrad,attenuation_length_cm,mu_1_per_cm,f1,f2,real_sld_per_ang2,imag_sld_per_ang2
8.0,1.5498021458534785,8.880587811875232e-06,2.527015515478161e-07,0.24146738935376308,4.214400980418269,0.004880434465404043,204.899790600346,50.55805113322574,1.4386545390064844,2.3231062090059275e-05,6.610514482398891e-07
8.081632653061224,1.5341475787236454,8.702034738217735e-06,2.431422739345563e-07,0.23902759211707741,4.171818485557044,0.005021076068657036,199.16049594274827,50.55774118072109,1.4126264173237444,2.3230919669105162e-05,6.490917128991021e-07
8.16326530612245,1.518806102936409,8.528769258861131e-06,2.3403122700089565e-07,0.23663599844814093,4.130077301664251,0.0051643855817485075,193.6338765126499,50.55717810667974,1.3872996286909784,2.323066094061934e-05,6.37454235067546e-07
8.244897959183673,1.5037684187489198,8.360586354650256e-06,2.253467124163012e-07,0.2342912118491319,4.089153055254904,0.005310309934037025,188.31292569015383,50.55637714595808,1.3626691835057139,2.323029290490911e-05,6.261367220586507e-07
8.326530612244898,1.4890255911141264,8.197295110605191e-06,2.170620555606897e-07,0.23199195004143977,4.0490233663453195,0.005458940822337424,183.18571908823466,50.555379447211465,1.3386921459330259,2.3229834469486655e-05,6.151194451640368e-07
8.408163265306122,1.474569031977096,8.03871355108513e-06,2.0915296369232674e-07,0.22973697957197803,4.00966670711797,0.0056103663612105895,178.24147936467784,50.55422573114478,1.3153306274251444,2.322930434522398e-05,6.043849948675932e-07
8.489795918367347,1.4603904835927006,7.884657645127537e-06,2.015987044517725e-07,0.22752496208149697,3.971059718797373,0.005764629414167305,173.47168883785898,50.55288901881638,1.2925604878717305,2.3228690135490773e-05,5.939222789616583e-07
8.571428571428571,1.44648200279658,7.734959452237635e-06,1.9438000550675068e-07,0.22535471597856155,3.9331817787225742,0.0059217706121153825,168.86841208507715,50.55138979178513,1.2703595263525902,2.322800125141654e-05,5.837210962825414e-07
8.653061224489797,1.4328359461664233,7.589447650087087e-06,1.8748134132031292e-07,0.22322494008863614,3.896010177113783,0.006081749838842002,164.42636190218658,50.54967417740106,1.2487233794906258,2.3227212938904773e-05,5.737794418897435e-07
8.73469387755102,1.4194449560153355,7.447976961224518e-06,1.8088623755675228e-07,0.2211346470503843,3.8595276812647725,0.006244579030668925,160.13889728814578,50.54780953547714,1.2276357903911297,2.322635614930669e-05,5.640898458566775e-07
8.816326530612244,1.4063019471633418,7.310407034798425e-06,1.7457886428246963e-07,0.21908286393511836,3.823717310366556,0.006410280743053217,155.9994078393047,50.545853007381524,1.2070788357218518,2.3225457138671368e-05,5.546440725406511e-07
8.89795918367347,1.3934000944370724,7.176585281071081e-06,1.6854811349429759e-07,0.21706837508997465,3.7885578472741,0.006578730195692067,152.00501772436684,50.54373206809181,1.1870618623466938,2.3224482582270867e-05,5.454464167586274e-07
8.979591836734693,1.380732820851281,7.046388791075167e-06,1.6277926648408342e-07,0.21509035249398395,3.7540348402952164,0.006749952198279041,148.149197301717,50.54153559454039,1.1675645972698523,2.3223473318418548e-05,5.36487563214354e-07
9.061224489795919,1.368293786429197,6.919679742057568e-06,1.572497178478263e-07,0.2131476886915465,3.72012896068337,0.006924359632965255,144.4176866896448,50.53920579336577,1.1485034203182458,2.3222402791479084e-05,5.277290890376988e-07
9.142857142857142,1.3560768776217937,6.796343951860454e-06,1.5194946298962265e-07,0.21123958474694748,3.6868262643798264,0.0071019118475223394,140.80715467467712,50.53681357225378,1.1298783195645283,2.322130358302583e-05,5.191709887481314e-07
9.224489795918368,1.3440761972888573,6.676260487950589e-06,1.4687173014283704e-07,0.20936508937345163,3.654110148298923,0.007282421555279538,137.31696145426102,50.53434263432367,1.1117101179214777,2.3220168204758896e-05,5.108228303248124e-07
9.306122448979592,1.3322860552073763,6.559314425836066e-06,1.4200562784349116e-07,0.20752329531336125,3.6219647778066713,0.0074658981661047796,133.9423573361884,50.531781871256214,1.0939858870637138,2.321899155248523e-05,5.026786732949016e-07
9.387755102040817,1.3207009590751382,6.445400788318891e-06,1.373427814726871e-07,0.20571340567043245,3.590376244439819,0.007652243668329092,130.68062693021318,50.5291588894796,1.0767080985768374,2.3217786311160702e-05,4.947396533342655e-07
9.46938775510204,1.309315605979663,6.334415761381239e-06,1.3286890342945472e-07,0.20393459875693878,3.559330207042117,0.007841716360279248,127.52310260357204,50.52647539173581,1.0598289775016896,2.3216553263183036e-05,4.86983818191627e-07
9.551020408163264,1.2981248743046232,6.226258718756719e-06,1.2857262076071324e-07,0.202186061135532,3.5288124684535784,0.00803448624107287,124.46346536607757,50.52372316441553,1.0433179524436462,2.321528863445763e-05,4.793971205302953e-07
9.63265306122449,1.2871238160478042,6.120835329990753e-06,1.2444767710168246e-07,0.20046704012714844,3.4988098919463324,0.008230451643060117,121.5000152322377,50.520910720803485,1.0271816909465816,2.32139963367778e-05,4.719826240388871e-07
9.714285714285714,1.276307649526394,6.0180521099355545e-06,1.2048548353730438e-07,0.19877675760107372,3.469308896577401,0.008429674072114722,118.628548558952,50.51802077677689,1.0114050276481792,2.321266842821302e-05,4.647333603421249e-07
9.795918367346939,1.2656717524470074,5.917827128058463e-06,1.1668256407048887e-07,0.1971145883706332,3.440298570780874,0.008631877321963575,115.84965387025687,50.515101146862506,0.9960127929640632,2.3211326879195585e-05,4.5766073883800057e-07
9.877551020408163,1.2552116553193462,5.820075607248847e-06,1.1303110099083182e-07,0.19547982586970436,3.411766582651529,0.008837087218447882,113.15945800698309,50.51214690218343,0.9809913071667613,2.32099694249419e-05,4.5075847378979873e-07
9.959183673469388,1.244923035193778,5.724720602146902e-06,1.0951980542549596e-07,0.1938718604891948,3.383702292503554,0.009045654073721073,110.55032525565441,50.50919156377974,0.96629289299983,2.320861146812959e-05,4.440046578399394e-07
10.040816326530612,1.2348017097043975,5.631683926050765e-06,1.0614200857429019e-07,0.19229002966195893,3.3560941363587427,0.009257635053148073,108.01894806384148,50.50623041505175,0.9519058264210503,2.320725084151492e-05,4.373939038750619e-07
10.122448979591837,1.2248436314003295,5.540888562051419e-06,1.0289407199204476e-07,0.19073365804812656,3.3289303273127895,0.009472844969487727,105.56490718691431,50.50324065739091,0.9378430953517017,2.3205877069300673e-05,4.309321797518956e-07
10.204081632653061,1.215044882349127,5.452262564450724e-06,9.976954514473314e-08,0.18920212561443464,3.302200043743784,0.00969135415140171,103.18475461505706,50.50021748245739,0.9240904428898234,2.3204487942089172e-05,4.2461293452618443e-07
10.285714285714285,1.20540166899715,5.365737951551925e-06,9.676258554168851e-08,0.18769485139371123,3.2758931458617284,0.009913213509030495,100.87546274364459,50.49716651179744,0.9106364191336345,2.320308604294062e-05,4.1843090705013406e-07
10.36734693877551,1.195910317272763,5.281248263505672e-06,9.386762348177838e-08,0.1862112528040393,3.249999465694009,0.010138481801742058,98.63409724996238,50.494082566905334,0.8974695552944647,2.3201668992368752e-05,4.123808274975603e-07
10.448979591836734,1.1865672679190695,5.198730110691044e-06,9.108032452793542e-08,0.1847507738515529,3.2245092993170434,0.010367115344568372,96.45884768938436,50.490965051609706,0.8845878483232067,2.3200236516437103e-05,4.0646177548175627e-07
10.53061224489796,1.1773690720437278,5.118122303819203e-06,8.8395564281896e-08,0.18331287133812735,3.199413166135066,0.010599180466889934,94.34691702097466,50.48781092171566,0.8719796579406595,2.3198787216359943e-05,4.0066840237786783e-07
10.612244897959183,1.1683123868741607,5.039373221282177e-06,8.580900776041246e-08,0.181897149020562,3.174704150399586,0.010834683694611906,92.29618770479664,50.484689429037715,0.85963887110074,2.319735291284962e-05,3.9499789928503895e-07
10.693877551020408,1.1593939717071824,4.962426333341829e-06,8.33160517856247e-08,0.1805031006856118,3.15037341702276,0.011073693342006195,90.30410804376062,50.48160153831799,0.8475546931001774,2.3195934049198248e-05,3.8944530611449435e-07
10.775510204081632,1.1506106840427341,4.887220437651241e-06,8.091316172356203e-08,0.17913011073869559,3.1264102218522902,0.011316167483690218,88.36914100478641,50.47847792189813,0.835725193852053,2.3194498769843747e-05,3.840097360051298e-07
10.857142857142858,1.1419594758920366,4.813701705288881e-06,7.859620407733845e-08,0.177777673093022,3.102805732007365,0.011562167507479605,86.48897357291327,50.47530093124624,0.8241406085671072,2.319303896541222e-05,3.786867021062756e-07
10.938775510204081,1.1334373902510513,4.7418273465106905e-06,7.63616293335881e-08,0.1764454642306491,3.0795543010347104,0.01181170208898921,84.66180339344939,50.472148724816265,0.8127954121801262,2.319159054915301e-05,3.734736656900703e-07
11.020408163265305,1.1250415577306734,4.671550885934415e-06,7.420573636978275e-08,0.1751330746189793,3.0566487812421026,0.012064830419872755,82.88554129636468,50.46904435197406,0.8016807889845681,2.31901641120845e-05,3.6836657600254997e-07
11.10204081632653,1.1167691933355948,4.602821108137507e-06,7.212525695345858e-08,0.17383998597423952,3.034080126871242,0.012321573947861368,81.15846272817834,50.46594072470465,0.7907908773018067,2.3188738017601352e-05,3.63362739644403e-07
11.183673469387754,1.1086175933842402,4.535591221871623e-06,7.011681301257271e-08,0.17256574204759,3.0118403748776665,0.012582001548908442,79.47861046692968,50.46281819191827,0.7801170374851596,2.3187303236168665e-05,3.5845818675990865e-07
11.26530612244898,1.1005841325626151,4.4698189155150385e-06,6.817764740861017e-08,0.17130995253782177,2.9899227132202055,0.012846102178917703,77.84462446835768,50.45968816430479,0.7696559733266038,2.318586501091665e-05,3.536514027651079e-07
11.346938775510203,1.0926662611053302,4.405461610152367e-06,6.630508501095096e-08,0.17007220436356524,2.9683199322688805,0.0131138687610408,76.2551477540205,50.45654187006191,0.7594040293855502,2.318441931126503e-05,3.489407080112529e-07
11.428571428571429,1.0848615020974348,4.342480752555624e-06,6.449625760468785e-08,0.16885214472604948,2.947025874523542,0.013385355758715809,74.70851115397922,50.45339951051216,0.7493540299394896,2.3182975419576703e-05,3.443228053052869e-07
11.510204081632653,1.0771674488910703,4.2808427088452526e-06,6.274883197118058e-08,0.16764950121010602,2.926035785442568,0.013660535076369077,73.20357470695771,50.45032364005969,0.7395036669861026,2.3181562079151967e-05,3.3979663413668796e-07
11.591836734693878,1.0695817626312738,4.220508083595583e-06,6.10600869619719e-08,0.1664638743818218,2.9053426935890307,0.013939484287807183,71.73866545943142,50.44729516778854,0.7298448833480767,2.3180170517851793e-05,3.3535849229023593e-07
11.673469387755102,1.0621021698856008,4.161433390348015e-06,5.942779435626919e-08,0.165294766759177,2.884937916263716,0.014222201264322122,70.31260361281798,50.444228341526056,0.7203741949333942,2.317876133316753e-05,3.3100677885062305e-07
11.755102040816325,1.0547264603725064,4.103582515855516e-06,5.784950710289485e-08,0.16414180906062695,2.864815008287801,0.014508760591471168,68.923874902715,50.44110771890083,0.7110843288730833,2.317732742944021e-05,3.2673815198668945e-07
11.83673469387755,1.0474524847837303,4.046927846561402e-06,5.632320278957127e-08,0.16300478786054798,2.8449702446814458,0.014799162010552981,67.57139352126292,50.438008007098205,0.7019720293999339,2.3175903134085974e-05,3.2255111569673977e-07
11.918367346938776,1.0402781526961704,3.9914389586558065e-06,5.484665902331033e-08,0.16188342199965716,2.8253987182894402,0.015093481821904065,66.25376515502032,50.434958055705394,0.6930305025302953,2.317450170328336e-05,3.1844254819398655e-07
12.0,1.0332014305689856,3.937082494137785e-06,5.341810919289726e-08,0.16077735793497538,2.806094258622752,0.015391701182352634,64.9700762867298,50.431936501251386,0.6842576183873141,2.3173113320670583e-05,3.144114708152828e-07
